アーペラント,1350,1350,4291,名詞,固有名詞,人名,姓,*,*,アーペラント,アーペラント,アーペラント,1/6,C1
アーマド,1350,1350,4228,名詞,固有名詞,人名,姓,*,*,アーマド,アーマド,アーマド,1/4,C1
アーマン,1350,1350,4342,名詞,固有名詞,人名,姓,*,*,アーマン,アーマン,アーマン,1/4,C2
アーム,1345,1345,3452,名詞,一般,*,*,*,*,アーム,アーム,アーム,1/3,C1
アームストロング,1350,1350,4351,名詞,固有名詞,人名,姓,*,*,アームストロング,アームストロング,アームストロング,6/8,C1
アームチェア,1345,1345,3452,名詞,一般,*,*,*,*,アームチェア,アームチェア,アームチェア,4/5,C1
アーメント,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アーメント,アーメント,アーメント,1/5,C1
アーモスト,1348,1348,3648,名詞,固有名詞,一般,*,*,*,アーモスト,アーモスト,アーモスト,1/5,C1
アーモンド,1345,1345,3452,名詞,一般,*,*,*,*,アーモンド,アーモンド,アーモンド,1/5,C1
アーラン,1345,1345,3452,名詞,一般,*,*,*,*,アーラン,アーラン,アーラン,1/4,C1
アーリントン,1353,1353,4310,名詞,固有名詞,地域,一般,*,*,アーリントン,アーリントン,アーリントン,3/6,C1
アール,1345,1345,3980,名詞,一般,*,*,*,*,アール,アール,アール,1/3,C1
アール,1360,1360,8532,名詞,接尾,助数詞,*,*,*,アール,アール,アール,1/3,C1
アールヌーヴォー,1345,1345,10000,名詞,一般,*,*,*,*,アールヌーヴォー,アールヌーヴォー,アールヌーヴォー,4/7,*
アールビバン,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アールビバン,アールビバン,アールビバン,4/6,C1
アールンホール,1348,1348,3646,名詞,固有名詞,一般,*,*,*,アールンホール,アールンホール,アールンホール,5/7,C1
アーレスティ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーレスティ,アーレスティ,アーレスティ,3/5,C1
アーロン,1350,1350,4352,名詞,固有名詞,人名,姓,*,*,アーロン,アーロン,アーロン,1/4,C2
アーロン,1351,1351,4288,名詞,固有名詞,人名,名,*,*,アーロン,アーロン,アーロン,1/4,C2
アイーダ,1349,1349,3506,名詞,固有名詞,人名,一般,*,*,アイーダ,アイーダ,アイーダ,2/4,C1
アイアコッカ,1350,1350,4353,名詞,固有名詞,人名,姓,*,*,アイアコッカ,アイアコッカ,アイアコッカ,4/6,C1
アイアン,1345,1345,3474,名詞,一般,*,*,*,*,アイアン,アイアン,アイアン,0/4,C2
アイアンドエス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイアンドエス,アイアンドエス,アイアンドエス,6/7,C1
アイエー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイエー,アイエー,アイエー,1/4,C1
アイエイチアイ,1352,1352,10000,名詞,固有名詞,組織,*,*,*,アイエイチアイ,アイエイチアイ,アイエイチアイ,6/7,*
アイオイ,1345,1345,3451,名詞,一般,*,*,*,*,アイオイ,アイオイ,アイオイ,0/4,C2
アイオワ,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アイオワ,アイオワ,アイオワ,0/4,C2
アイカギ,1345,1345,3452,名詞,一般,*,*,*,*,アイカギ,アイカギ,アイカギ,0/4,C2
アイガー,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アイガー,アイガー,アイガー,1/4,C2
アイガー,1353,1353,4350,名詞,固有名詞,地域,一般,*,*,アイガー,アイガー,アイガー,1/4,C2
アイガモ,1345,1345,3452,名詞,一般,*,*,*,*,アイガモ,アイガモ,アイガモ,0/4,C2
アイキ,1345,1345,3452,名詞,一般,*,*,*,*,アイキ,アイキ,アイキ,0/3,C2
アイキャット,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アイキャット,アイキャット,アイキャット,3/5,C1
アイキュー,1345,1345,10000,名詞,一般,*,*,*,*,アイキュー,アイキュー,アイキュー,2/4,*
アイク,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイク,アイク,アイク,1/3,C1
アイコ,1348,1348,3316,名詞,固有名詞,一般,*,*,*,アイコ,アイコ,アイコ,1/3,C1
アイコー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコー,アイコー,アイコー,1/4,C2
アイコクアルファ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコクアルファ,アイコクアルファ,アイコクアルファ,5/7,C1
アイコクアルファエンジニアリング,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコクアルファエンジニアリング,アイコクアルファエンジニアリング,アイコクアルファエンジニアリング,11/15,C1
アイコム,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイコム,アイコム,アイコム,1/4,C1
アイサンコンピュータサービス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイサンコンピュータサービス,アイサンコンピュータサービス,アイサンコンピュータサービス,10/13,C1
アイサンテクノロジー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイサンテクノロジー,アイサンテクノロジー,アイサンテクノロジー,7/10,C1
アイザック,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アイザック,アイザック,アイザック,3/5,C1
アイシーエス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイシーエス,アイシーエス,アイシーエス,3/6,C1
アイシャドー,1345,1345,3447,名詞,一般,*,*,*,*,アイシャドー,アイシャドー,アイシャドー,3/5,C1
アイシング,1345,1345,3448,名詞,一般,*,*,*,*,アイシング,アイシング,アイシング,1/5,C1
アイス,1345,1345,3943,名詞,一般,*,*,*,*,アイス,アイス,アイス,1/3,C1
アイスアリーナ,1345,1345,3364,名詞,一般,*,*,*,*,アイスアリーナ,アイスアリーナ,アイスアリーナ,5/7,C1
アイスキャンデー,1345,1345,3452,名詞,一般,*,*,*,*,アイスキャンデー,アイスキャンデー,アイスキャンデー,4/7,C1
アイスクリーム,1345,1345,3177,名詞,一般,*,*,*,*,アイスクリーム,アイスクリーム,アイスクリーム,5/7,C1
アイススケート,1345,1345,3456,名詞,一般,*,*,*,*,アイススケート,アイススケート,アイススケート,5/7,C1
アイススケートリンク,1345,1345,3341,名詞,一般,*,*,*,*,アイススケートリンク,アイススケートリンク,アイススケートリンク,8/10,C1
アイスダンス,1345,1345,3452,名詞,一般,*,*,*,*,アイスダンス,アイスダンス,アイスダンス,4/6,C1
アイスティー,1345,1345,3438,名詞,一般,*,*,*,*,アイスティー,アイスティー,アイスティー,3/5,C2
アイスバーン,1345,1345,3452,名詞,一般,*,*,*,*,アイスバーン,アイスバーン,アイスバーン,4/6,C1
アイスホッケー,1345,1345,3300,名詞,一般,*,*,*,*,アイスホッケー,アイスホッケー,アイスホッケー,4/7,C1
アイスマン,1345,1345,3335,名詞,一般,*,*,*,*,アイスマン,アイスマン,アイスマン,1/5,C1
アイスラー,1350,1350,4351,名詞,固有名詞,人名,姓,*,*,アイスラー,アイスラー,アイスラー,1/5,C1
アイスランド,1354,1354,3167,名詞,固有名詞,地域,国,*,*,アイスランド,アイスランド,アイスランド,4/6,C1
アイズ,1343,1343,4316,名詞,サ変接続,*,*,*,*,アイズ,アイズ,アイズ,1/3,C1
アイセック,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイセック,アイセック,アイセック,3/5,C1
アイゼン,1345,1345,3452,名詞,一般,*,*,*,*,アイゼン,アイゼン,アイゼン,1/4,C1
アイソトープ,1345,1345,3444,名詞,一般,*,*,*,*,アイソトープ,アイソトープ,アイソトープ,4/6,C1
アイタイ,1343,1343,4643,名詞,サ変接続,*,*,*,*,アイタイ,アイタイ,アイタイ,0/4,C2
アイダエンジニアリング,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイダエンジニアリング,アイダエンジニアリング,アイダエンジニアリング,7/11,C1
アイダホ,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アイダホ,アイダホ,アイダホ,0/4,C1
アイチコーポレーション,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイチコーポレーション,アイチコーポレーション,アイチコーポレーション,7/10,C1
アイチューンズ,1345,1345,7000,名詞,一般,*,*,*,*,アイチューンズ,アイチューンズ,アイチューンズ,3/6,*
アイツ,1345,1345,3447,名詞,一般,*,*,*,*,アイツ,アイツ,アイツ,0/3,C2
アイヅチ,1345,1345,3452,名詞,一般,*,*,*,*,アイヅチ,アイヅチ,アイズチ,0/4,C2
アイテ,1345,1345,3331,名詞,一般,*,*,*,*,アイテ,アイテ,アイテ,3/3,C2
アイティーオー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイティーオー,アイティーオー,アイティーオー,5/6,C1
アイテック,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイテック,アイテック,アイテック,3/5,C1
アイテム,1345,1345,3452,名詞,一般,*,*,*,*,アイテム,アイテム,アイテム,1/4,C1
アイデア,1345,1345,3410,名詞,一般,*,*,*,*,アイデア,アイデア,アイデア,1/4,C1
アイディード,1349,1349,3516,名詞,固有名詞,人名,一般,*,*,アイディード,アイディード,アイディード,3/5,C1
アイディア,1345,1345,3452,名詞,一般,*,*,*,*,アイディア,アイディア,アイディア,3/4,C2
アイディシィソリューションズ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイディシィソリューションズ,アイディシィソリューションズ,アイディシィソリューションズ,6/10,C1
アイディド,1349,1349,3516,名詞,固有名詞,人名,一般,*,*,アイディド,アイディド,アイディド,1/4,C1
アイデックスラボラトリーズ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイデックスラボラトリーズ,アイデックスラボラトリーズ,アイデックスラボラトリーズ,9/13,C1
アイデンティティ,1345,1345,3437,名詞,一般,*,*,*,*,アイデンティティ,アイデンティティ,アイデンティティ,3/6,C1
アイデンティティー,1345,1345,3730,名詞,一般,*,*,*,*,アイデンティティー,アイデンティティー,アイデンティティー,3/7,C1
アイトー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイトー,アイトー,アイトー,1/4,C2
アイドリス,1351,1351,4300,名詞,固有名詞,人名,名,*,*,アイドリス,アイドリス,アイドリス,3/5,C1
アイドリング,1343,1343,4317,名詞,サ変接続,*,*,*,*,アイドリング,アイドリング,アイドリング,0/6,C1
アイドル,1345,1345,3266,名詞,一般,*,*,*,*,アイドル,アイドル,アイドル,1/4,C1
アイナメ,1345,1345,3452,名詞,一般,*,*,*,*,アイナメ,アイナメ,アイナメ,0/4,C2
アイヌ,1348,1348,3589,名詞,固有名詞,一般,*,*,*,アイヌ,アイヌ,アイヌ,1/3,C1
アイネス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイネス,アイネス,アイネス,1/4,C1
アイネスサウザー,1348,1348,3652,名詞,固有名詞,一般,*,*,*,アイネスサウザー,アイネスサウザー,アイネスサウザー,5/8,C1
アイネット,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイネット,アイネット,アイネット,3/5,C1
アイノリ,1345,1345,3451,名詞,一般,*,*,*,*,アイノリ,アイノリ,アイノリ,0/4,C2
アイハン,1345,1345,3554,名詞,一般,*,*,*,*,アイハン,アイハン,アイハン,0/4,C2
アイバーソン,1345,1345,3452,名詞,一般,*,*,*,*,アイバーソン,アイバーソン,アイバーソン,3/6,C1
アイバック,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイバック,アイバック,アイバック,3/5,C1
アイバンク,1345,1345,3446,名詞,一般,*,*,*,*,アイバンク,アイバンク,アイバンク,3/5,C1
アイビー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイビー,アイビー,アイビー,1/4,C1
アイビーエム,1352,1352,4087,名詞,固有名詞,組織,*,*,*,アイビーエム,アイビーエム,アイビーエム,5/6,C1
アイビックス,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アイビックス,アイビックス,アイビックス,3/6,C1
アイビックス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイビックス,アイビックス,アイビックス,3/6,C1
アイフホームテクノロジー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイフホームテクノロジー,アイフホームテクノロジー,アイフホームテクノロジー,9/12,C1
アイフル,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイフル,アイフル,アイフル,1/4,C1
アイフルホームテクノロジー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイフルホームテクノロジー,アイフルホームテクノロジー,アイフルホームテクノロジー,10/13,C1
アイベティック,1350,1350,4352,名詞,固有名詞,人名,姓,*,*,アイベティック,アイベティック,アイベティック,1/6,C1
アイペック,1352,1352,4753,名詞,固有名詞,組織,*,*,*,アイペック,アイペック,アイペック,1/5,C1
アイホン,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイホン,アイホン,アイホン,1/4,C2
アイボウ,1345,1345,3452,名詞,一般,*,*,*,*,アイボウ,アイボウ,アイボー,0/4,C2
アイボシ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイボシ,アイボシ,アイボシ,1/4,C2
アイボリー,1345,1345,3452,名詞,一般,*,*,*,*,アイボリー,アイボリー,アイボリー,1/5,C1
アイポッド,1345,1345,10000,名詞,一般,*,*,*,*,アイポッド,アイポッド,アイポッド,3/5,*
アイメディア,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイメディア,アイメディア,アイメディア,3/5,C1
アイモ,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アイモ,アイモ,アイモ,1/3,C1
アイリーン,1351,1351,4304,名詞,固有名詞,人名,名,*,*,アイリーン,アイリーン,アイリーン,3/5,C1
アイリス,1345,1345,3452,名詞,一般,*,*,*,*,アイリス,アイリス,アイリス,1/4,C1
アイリス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイリス,アイリス,アイリス,1/4,C1
アイリスオーヤマ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイリスオーヤマ,アイリスオーヤマ,アイリスオーヤマ,1/8,C1
アイルトン,1351,1351,4274,名詞,固有名詞,人名,名,*,*,アイルトン,アイルトン,アイルトン,1/5,C1
アイルランド,1354,1354,4029,名詞,固有名詞,地域,国,*,*,アイルランド,アイルランド,アイルランド,4/6,C1
アイレックス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイレックス,アイレックス,アイレックス,3/6,C1
アイロニー,1345,1345,3448,名詞,一般,*,*,*,*,アイロニー,アイロニー,アイロニー,1/5,C1
アイロン,1345,1345,3452,名詞,一般,*,*,*,*,アイロン,アイロン,アイロン,0/4,C2
アイワ,1352,1352,3454,名詞,固有名詞,組織,*,*,*,アイワ,アイワ,アイワ,0/3,C1
アイワホーム,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アイワホーム,アイワホーム,アイワホーム,4/6,C1
アイン,1350,1350,4346,名詞,固有名詞,人名,姓,*,*,アイン,アイン,アイン,1/3,C1
アインシュタイン,1350,1350,4353,名詞,固有名詞,人名,姓,*,*,アインシュタイン,アインシュタイン,アインシュタイン,5/7,C1
アインスタイニウム,1345,1345,3452,名詞,一般,*,*,*,*,アインスタイニウム,アインスタイニウム,アインスタイニューム,7/9,C1
アウグゥストゥス,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,アウグゥストゥス,アウグゥストゥス,アウグゥストゥス,3/6,*
アウグストゥス,1349,1349,10000,名詞,固有名詞,人名,一般,*,*,アウグストゥス,アウグストゥス,アウグストゥス,3/6,*
アウシュビッツ,1353,1353,4328,名詞,固有名詞,地域,一般,*,*,アウシュビッツ,アウシュビッツ,アウシュビッツ,4/6,C1
アウズフムラ,1345,1345,10000,名詞,一般,*,*,*,*,アウズフムラ,アウズフムラ,アウズフムラ,4/6,*
アウタルキー,1345,1345,3452,名詞,一般,*,*,*,*,アウタルキー,アウタルキー,アウタルキー,3/6,C1
アウツ,1345,1345,10000,名詞,一般,*,*,*,*,アウツ,アウツ,アウツ,1/3,*
アウト,1345,1345,4672,名詞,一般,*,*,*,*,アウト,アウト,アウト,1/3,C1
アウトコース,1345,1345,3366,名詞,一般,*,*,*,*,アウトコース,アウトコース,アウトコース,4/6,C1
アウトサイダー,1345,1345,3452,名詞,一般,*,*,*,*,アウトサイダー,アウトサイダー,アウトサイダー,4/7,C1
アウトドア,1345,1345,3401,名詞,一般,*,*,*,*,アウトドア,アウトドア,アウトドア,4/5,C1
アウトバーン,1345,1345,3452,名詞,一般,*,*,*,*,アウトバーン,アウトバーン,アウトバーン,4/6,C1
アウトプット,1345,1345,3452,名詞,一般,*,*,*,*,アウトプット,アウトプット,アウトプット,4/6,C1
アウトホルン,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アウトホルン,アウトホルン,アウトホルン,4/6,C1
アウトライン,1345,1345,3452,名詞,一般,*,*,*,*,アウトライン,アウトライン,アウトライン,4/6,C1
アウトラチーナ,1352,1352,4775,名詞,固有名詞,組織,*,*,*,アウトラチーナ,アウトラチーナ,アウトラチーナ,4/7,C1
アウトレット,1345,1345,5000,名詞,一般,*,*,*,*,アウトレット,アウトレット,アウトレット,4/6,*
アウフヘーベン,1343,1343,4317,名詞,サ変接続,*,*,*,*,アウフヘーベン,アウフヘーベン,アウフヘーベン,4/7,C1
アウレリウス,1351,1351,4273,名詞,固有名詞,人名,名,*,*,アウレリウス,アウレリウス,アウレリウス,4/6,C1
アウン,1351,1351,4292,名詞,固有名詞,人名,名,*,*,アウン,アウン,アウン,1/3,C2
アウンサンスーチー,1349,1349,3516,名詞,固有名詞,人名,一般,*,*,アウンサンスーチー,アウンサンスーチー,アウンサンスーチー,6/9,C1
アエル,1353,1353,4350,名詞,固有名詞,地域,一般,*,*,アエル,アエル,アエル,1/3,C1
アエロフロート,1352,1352,4770,名詞,固有名詞,組織,*,*,*,アエロフロート,アエロフロート,アエロフロート,5/7,C1
アオイ,1345,1345,3447,名詞,一般,*,*,*,*,アオイ,アオイ,アオイ,0/3,C2
アオイロ,1345,1345,3452,名詞,一般,*,*,*,*,アオイロ,アオイロ,アオイロ,0/4,C2
アオエンドウ,1345,1345,3452,名詞,一般,*,*,*,*,アオエンドウ,アオエンドウ,アオエンドー,3/6,C1
アオカビ,1345,1345,3452,名詞,一般,*,*,*,*,アオカビ,アオカビ,アオカビ,0/4,C2
アオガエル,1345,1345,3452,名詞,一般,*,*,*,*,アオガエル,アオガエル,アオガエル,3/5,C1
アオキ,1345,1345,3278,名詞,一般,*,*,*,*,アオキ,アオキ,アオキ,0/3,C2
アオキインターナショナル,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アオキインターナショナル,アオキインターナショナル,アオキインターナショナル,8/11,C1
アオキスーパー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アオキスーパー,アオキスーパー,アオキスーパー,4/7,C1
アオキトランス,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アオキトランス,アオキトランス,アオキトランス,4/7,C1
アオギリ,1345,1345,3452,名詞,一般,*,*,*,*,アオギリ,アオギリ,アオギリ,0/4,C2
アオコ,1345,1345,3448,名詞,一般,*,*,*,*,アオコ,アオコ,アオコ,0/3,C2
アオサ,1345,1345,3452,名詞,一般,*,*,*,*,アオサ,アオサ,アオサ,0/3,C2
アオザイ,1348,1348,3626,名詞,固有名詞,一般,*,*,*,アオザイ,アオザイ,アオザイ,0/4,C2
アオジ,1345,1345,3452,名詞,一般,*,*,*,*,アオジ,アオジ,アオジ,0/3,C2
アオジソ,1345,1345,3452,名詞,一般,*,*,*,*,アオジソ,アオジソ,アオジソ,0/4,C2
アオスジ,1345,1345,3452,名詞,一般,*,*,*,*,アオスジ,アオスジ,アオスジ,0/4,C2
アオゾラ,1345,1345,3447,名詞,一般,*,*,*,*,アオゾラ,アオゾラ,アオゾラ,3/4,C1
アオタ,1345,1345,3450,名詞,一般,*,*,*,*,アオタ,アオタ,アオタ,0/3,C2
アオダイショウ,1345,1345,3452,名詞,一般,*,*,*,*,アオダイショウ,アオダイショウ,アオダイショー,3/6,C1
アオナ,1345,1345,3452,名詞,一般,*,*,*,*,アオナ,アオナ,アオナ,0/3,C2
アオノリ,1345,1345,3452,名詞,一般,*,*,*,*,アオノリ,アオノリ,アオノリ,2/4,C1
アオバエ,1345,1345,3452,名詞,一般,*,*,*,*,アオバエ,アオバエ,アオバエ,2/4,C1
アオバト,1345,1345,3452,名詞,一般,*,*,*,*,アオバト,アオバト,アオバト,0/4,C2
アオマメ,1345,1345,3450,名詞,一般,*,*,*,*,アオマメ,アオマメ,アオマメ,2/4,C2
アオミ,1345,1345,3452,名詞,一般,*,*,*,*,アオミ,アオミ,アオミ,0/3,C2
アオミドロ,1345,1345,3452,名詞,一般,*,*,*,*,アオミドロ,アオミドロ,アオミドロ,3/5,C1
アオムシ,1345,1345,3452,名詞,一般,*,*,*,*,アオムシ,アオムシ,アオムシ,2/4,C1
アオヤギ,1345,1345,3448,名詞,一般,*,*,*,*,アオヤギ,アオヤギ,アオヤギ,0/4,C2
アオヤマ,1345,1345,3257,名詞,一般,*,*,*,*,アオヤマ,アオヤマ,アオヤマ,0/4,C2
アカ,1345,1345,3960,名詞,一般,*,*,*,*,アカ,アカ,アカ,2/2,C3
アカイロ,1345,1345,3326,名詞,一般,*,*,*,*,アカイロ,アカイロ,アカイロ,0/4,C2
アカウンティング,1345,1345,3452,名詞,一般,*,*,*,*,アカウンティング,アカウンティング,アカウンティング,2/7,C1
アカウンテング,1345,1345,3452,名詞,一般,*,*,*,*,アカウンテング,アカウンテング,アカウンテング,2/7,C1
アカウント,1345,1345,3452,名詞,一般,*,*,*,*,アカウント,アカウント,アカウント,2/5,C1
アカエイ,1345,1345,3452,名詞,一般,*,*,*,*,アカエイ,アカエイ,アカエイ,2/4,C1
アカガイ,1345,1345,3449,名詞,一般,*,*,*,*,アカガイ,アカガイ,アカガイ,2/4,C1
アカガエル,1345,1345,3452,名詞,一般,*,*,*,*,アカガエル,アカガエル,アカガエル,3/5,C1
アカガシ,1345,1345,3452,名詞,一般,*,*,*,*,アカガシ,アカガシ,アカガシ,0/4,C2
アカガネ,1345,1345,3452,名詞,一般,*,*,*,*,アカガネ,アカガネ,アカガネ,0/4,C2
アカギ,1345,1345,3428,名詞,一般,*,*,*,*,アカギ,アカギ,アカギ,0/3,C2
アカギ,1352,1352,4817,名詞,固有名詞,組織,*,*,*,アカギ,アカギ,アカギ,0/3,C2
アカゲ,1345,1345,3461,名詞,一般,*,*,*,*,アカゲ,アカゲ,アカゲ,0/3,C2
アカゲザル,1345,1345,3438,名詞,一般,*,*,*,*,アカゲザル,アカゲザル,アカゲザル,4/5,C1
アカザ,1345,1345,3452,名詞,一般,*,*,*,*,アカザ,アカザ,アカザ,0/3,C2
アカシア,1345,1345,3452,名詞,一般,*,*,*,*,アカシア,アカシア,アカシア,0/4,C2
アカシア,1353,1353,4350,名詞,固有名詞,地域,一般,*,*,アカシア,アカシア,アカシア,0/4,C1
アカシオ,1345,1345,3452,名詞,一般,*,*,*,*,アカシオ,アカシオ,アカシオ,0/4,C2
アカジ,1345,1345,3402,名詞,一般,*,*,*,*,アカジ,アカジ,アカジ,0/3,C2
